Sales;CompPrice;Income;Advertising;Population;Price;Age;Education;Urban;US
0;133;100;3;350;126;55;13;1;1
0;143;120;7;279;147;40;10;0;1
1;94;84;13;497;77;51;12;1;1
0;108;69;3;208;94;77;16;1;0
1;125;87;9;232;136;72;10;1;1
0;132;98;2;265;97;62;12;1;1
0;132;31;0;327;131;76;16;1;0
0;96;94;14;384;120;36;18;0;1
0;131;75;0;10;120;31;18;0;0
0;128;42;0;436;118;80;11;1;0
1;125;103;12;371;109;44;10;1;1
1;146;62;10;310;94;30;13;0;1
0;133;60;10;277;129;45;18;1;1
0;140;42;0;331;131;28;15;1;0
0;124;84;0;300;104;77;15;1;0
0;122;88;7;36;159;28;17;1;1
1;132;68;0;264;123;34;11;0;0
1;144;63;11;27;117;47;17;1;1
0;114;83;0;412;131;39;14;1;0
1;140;54;9;402;119;41;16;0;1
0;110;119;0;384;97;72;14;0;1
1;121;120;13;140;87;56;11;1;1
1;122;84;8;176;114;57;10;0;1
1;111;58;17;407;103;75;17;0;1
0;128;78;0;341;128;45;13;0;0
0;150;36;7;488;150;25;17;0;1
0;129;69;10;289;110;50;16;0;1
0;98;72;0;59;69;65;16;1;0
0;146;34;0;220;157;51;16;1;0
1;121;58;8;249;90;48;13;0;1
1;142;90;1;189;112;39;10;0;1
1;119;60;0;372;70;30;18;0;0
0;111;28;0;486;111;29;12;0;0
0;143;21;5;81;160;67;12;0;1
0;122;74;0;424;149;51;13;1;0
0;130;64;0;40;106;39;17;0;0
1;148;64;0;58;141;27;13;0;1
0;147;58;7;100;191;27;15;1;1
0;119;67;17;151;137;55;11;1;1
0;106;73;0;216;93;60;13;1;0
0;129;89;0;425;117;45;10;1;0
1;104;41;15;492;77;73;18;1;1
1;128;39;12;356;118;71;10;1;1
1;93;106;12;416;55;75;15;1;1
1;104;102;13;123;110;35;16;1;1
0;135;91;5;207;128;66;18;1;1
0;139;24;0;358;185;79;15;0;0
0;115;89;0;38;122;25;12;1;0
0;138;107;9;480;154;47;11;0;1
1;138;72;0;148;94;27;17;1;1
1;104;71;14;89;81;25;14;0;1
0;144;25;3;70;116;77;18;1;1
0;137;112;15;434;149;66;13;1;1
0;121;83;0;79;91;68;11;1;0
0;137;60;4;230;140;25;13;1;0
0;118;74;6;426;102;80;18;1;1
1;132;33;7;35;97;60;11;0;1
1;130;100;11;449;107;64;10;1;1
1;120;51;0;93;86;46;17;0;0
0;117;32;0;142;96;62;17;1;0
1;116;37;0;426;90;76;15;1;0
1;118;117;18;509;104;26;15;0;1
1;130;37;13;297;101;37;13;0;1
0;156;42;13;170;173;74;14;1;1
0;108;26;0;408;93;56;14;0;0
1;139;70;7;71;96;61;10;1;1
0;112;98;18;481;128;45;11;1;1
0;117;93;4;420;112;66;11;1;1
0;130;28;6;410;133;72;16;1;1
0;124;61;0;333;138;76;16;1;0
0;112;80;5;500;128;69;10;1;1
0;122;88;5;335;126;64;14;1;1
0;144;92;0;349;146;62;12;0;0
0;138;83;0;139;134;54;18;1;0
0;121;78;4;413;130;46;10;0;1
0;131;82;0;132;157;25;14;1;0
1;155;80;0;237;124;37;14;1;0
0;113;22;1;317;132;28;12;1;0
0;162;67;0;27;160;77;17;1;1
1;111;105;0;466;97;61;10;0;0
0;86;54;0;497;64;33;12;1;0
0;98;21;11;326;90;76;11;0;1
0;125;41;2;357;123;47;14;0;1
1;117;118;14;445;120;32;15;1;1
1;145;69;19;501;105;45;11;1;1
1;149;84;5;220;139;33;10;1;1
0;115;115;3;48;107;73;18;1;1
0;116;83;15;170;144;71;11;1;1
0;141;33;0;243;144;34;17;1;0
0;106;44;0;481;111;70;14;0;0
1;138;61;12;156;120;25;14;1;1
1;116;79;19;359;116;58;17;1;1
1;131;120;15;262;124;30;10;1;1
0;124;44;0;125;107;80;11;1;0
0;136;119;6;178;145;35;13;1;1
0;110;45;9;276;125;62;14;1;1
0;134;82;0;464;141;48;13;0;0
0;107;25;0;412;82;36;14;1;0
0;119;33;0;245;122;56;14;1;0
1;113;64;10;68;101;57;16;1;1
0;149;73;13;381;163;26;11;0;1
1;98;104;0;404;72;27;18;0;0
0;115;60;0;119;114;38;14;0;0
1;132;69;0;123;122;27;11;0;0
1;137;80;10;24;105;61;15;1;1
1;123;76;18;218;120;29;14;0;1
1;115;62;11;289;129;56;16;0;1
0;126;32;8;95;132;50;17;1;1
1;141;34;16;361;108;69;10;1;1
1;151;28;8;499;135;48;10;1;1
0;121;24;0;200;133;73;13;1;0
0;123;105;0;149;118;62;16;1;1
1;159;80;0;362;121;26;18;1;0
1;136;63;0;160;94;38;12;1;0
0;124;46;0;199;135;52;14;0;0
0;124;25;13;87;110;57;10;1;1
1;130;30;0;391;100;26;18;1;0
1;114;43;0;199;88;57;10;0;1
0;120;56;20;266;90;78;18;1;1
0;123;114;0;298;151;34;16;1;0
0;111;52;0;12;101;61;11;1;1
0;125;67;0;86;117;65;11;1;0
1;137;105;10;435;156;72;14;1;1
0;139;111;5;310;132;62;13;1;1
1;133;97;0;70;117;32;16;1;0
0;124;24;5;288;122;57;12;0;1
1;108;104;23;353;129;37;17;1;1
0;123;81;8;198;81;80;15;1;1
0;147;40;0;277;144;73;10;1;0
1;125;62;14;477;112;80;13;1;1
0;108;38;0;251;81;72;14;0;0
0;123;36;10;467;100;74;11;0;1
0;129;117;8;400;101;36;10;1;1
0;121;42;4;188;118;54;15;1;1
0;120;77;15;86;132;48;18;1;1
0;116;26;6;434;115;25;17;1;1
0;128;29;5;324;159;31;15;1;1
0;130;35;10;402;129;39;17;1;1
1;128;93;12;343;112;73;17;0;1
0;134;82;7;473;112;51;12;0;1
0;123;57;0;66;105;39;11;1;0
0;159;69;0;438;166;46;17;1;0
1;119;26;0;284;89;26;10;1;0
0;111;56;0;504;110;62;16;1;0
1;113;33;0;14;63;38;12;1;0
1;116;106;8;244;86;58;12;1;1
0;135;93;2;67;119;34;11;1;1
0;107;119;11;210;132;53;11;1;1
0;135;69;14;296;130;73;15;1;1
0;136;48;12;326;125;36;16;1;1
0;114;113;2;129;151;40;15;0;1
0;141;57;13;376;158;64;18;1;1
0;121;86;10;496;145;51;10;1;1
1;122;69;7;303;105;45;16;0;1
0;150;96;0;80;154;61;11;1;0
0;135;110;0;112;117;80;16;0;0
0;106;46;11;414;96;79;17;0;0
0;146;26;11;261;131;39;10;1;1
0;117;118;11;429;113;67;18;0;1
0;95;44;4;208;72;44;17;1;1
0;116;40;0;74;97;76;15;0;0
1;143;77;25;448;156;43;17;1;1
1;107;111;14;400;103;41;11;0;1
0;118;70;0;106;89;39;17;1;0
1;113;66;16;322;74;76;15;1;1
1;123;84;0;74;89;59;10;1;0
1;148;76;3;126;99;60;11;1;1
0;118;35;14;502;137;79;10;0;1
1;127;44;13;160;123;63;18;1;1
0;118;83;13;276;104;75;10;1;1
1;148;63;0;312;130;63;15;1;0
1;135;40;17;497;96;54;17;0;1
1;116;78;1;158;99;45;11;1;1
0;99;93;0;198;87;57;16;1;1
0;108;77;13;388;110;74;14;1;1
1;133;52;16;290;99;43;11;1;1
1;123;98;12;408;134;29;10;1;1
1;115;29;26;394;132;33;13;1;1
0;131;32;1;85;133;48;12;1;1
0;138;92;0;13;120;61;12;1;0
1;126;80;19;436;126;52;10;1;1
1;131;111;13;33;80;68;18;1;1
1;175;65;29;419;166;53;12;1;1
0;146;68;12;328;132;51;14;1;1
0;137;117;5;337;135;38;10;1;1
1;103;81;3;491;54;66;13;1;0
0;133;33;10;333;129;71;14;1;1
0;131;21;8;220;171;29;14;1;1
1;122;36;5;369;72;35;10;1;1
0;142;30;0;472;136;80;15;0;0
1;116;72;10;456;130;41;14;0;1
0;127;45;19;459;129;57;11;0;1
0;136;70;12;171;152;44;18;1;1
0;123;39;5;499;98;34;15;1;0
1;140;50;10;300;139;60;15;1;1
1;107;105;18;428;103;34;12;1;1
